date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:26	3151/3151	---MCZ	200	added ('OK')	text/html	etag:W/%2267644b15-323b%22	https://app.cubeast.com/robots.txt		(from )
18:41:26	12859/12859	---MCZ	200	added ('OK')	text/html	etag:W/%2267644b15-323b%22	https://app.cubeast.com/	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/index.html	(from )
18:41:26	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2021%20Jan%202025%2017:41:27%20GMT	http://app.cubeast.com/favicon.png	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/favicon.0.delayed	(from https://app.cubeast.com/)
18:41:27	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2021%20Jan%202025%2017:41:28%20GMT	http://app.cubeast.com/assets/icons/meteocons/style.css	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/assets/icons/meteocons/style.css	(from https://app.cubeast.com/)
18:41:27	17837/17837	---M--	200	added ('OK')	image/png	etag:%2267644a4c-45ad%22	https://app.cubeast.com/favicon.png	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/favicon.png	(from https://app.cubeast.com/)
18:41:27	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%2267644a4e-b10%22	https://app.cubeast.com/assets/icons/meteocons/style.css	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/assets/icons/meteocons/style.css	(from https://app.cubeast.com/)
18:41:27	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2021%20Jan%202025%2017:41:28%20GMT	http://app.cubeast.com/assets/icons/material-icons/outline/style.css	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/assets/icons/material-icons/outline/style.css	(from https://app.cubeast.com/)
18:41:28	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2021%20Jan%202025%2017:41:29%20GMT	http://app.cubeast.com/manifest.webmanifest	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/manifest.webmanifest	(from https://app.cubeast.com/)
18:41:28	51364/51364	---MCZ	200	added ('OK')	text/css	etag:W/%2267644a4d-c8a4%22	https://app.cubeast.com/assets/icons/material-icons/outline/style.css	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/assets/icons/material-icons/outline/style.css	(from https://app.cubeast.com/)
18:41:28	767/767	---M--	200	added ('OK')	application/octet-stream	etag:%2267644a4c-2ff%22	https://app.cubeast.com/manifest.webmanifest	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/manifest.webmanifest	(from https://app.cubeast.com/)
18:41:28	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2021%20Jan%202025%2017:41:29%20GMT	http://app.cubeast.com/assets/icons/apple-touch.png	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/assets/icons/apple-touch.png	(from https://app.cubeast.com/)
18:41:28	8500/8500	---M--	200	added ('OK')	image/png	etag:%2267644a4d-2134%22	https://app.cubeast.com/assets/icons/apple-touch.png	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/assets/icons/apple-touch.png	(from https://app.cubeast.com/)
18:41:29	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2021%20Jan%202025%2017:41:29%20GMT	http://app.cubeast.com/styles.967a7ce87c5993c9.css	C:/Users/jouke/Documents/Websites/cubeast/app.cubeast.com/styles.967a7ce87c5993c9.css	(from https://app.cubeast.com/)
